image,label,item-count
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/0.png,Green Zero,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/1.png,Green 1,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/2.png,Green 2,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/3.png,Green 3,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/4.png,Green 4,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/5.png,Green 5,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/6.png,Green 6,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/7.png,Green 7,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/8.png,Green 8,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/9.png,Green 9,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/10.png,Green 10,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/11.png,Green 11,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/12.png,Green 12,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/13.png,Green 13,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/14.png,Green 14,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/15.png,Green 15,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/16.png,Green 16,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/17.png,Green 17,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/18.png,Green 18,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/19.png,Green 19,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/20.png,Green 20,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/j1.png,Green Joker 1,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/j2.png,Green Joker 2,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/plus.png,Green Plus,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/minus.png,Green Minus,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/stop.png,Green Stop,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/cancel.png,Green Cancel,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/x.png,Green X,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/green/blank.png,Green,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/0.png,Blue Zero,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/1.png,Blue 1,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/2.png,Blue 2,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/3.png,Blue 3,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/4.png,Blue 4,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/5.png,Blue 5,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/6.png,Blue 6,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/7.png,Blue 7,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/8.png,Blue 8,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/9.png,Blue 9,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/10.png,Blue 10,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/11.png,Blue 11,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/12.png,Blue 12,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/13.png,Blue 13,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/14.png,Blue 14,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/15.png,Blue 15,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/16.png,Blue 16,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/17.png,Blue 17,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/18.png,Blue 18,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/19.png,Blue 19,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/20.png,Blue 20,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/j1.png,Blue Joker 1,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/j2.png,Blue Joker 2,1
https://raw.githubusercontent.com/crazylegs/games/master/cards/generic/blue/plus.png,Blue Plus,1
